,tip.label,exclude,RAD_Results_from_Floragenex,Batch,PLATE_no,Row_no,Inst.,Extraction_Tube_no,Species,cleanedSpecies,Section,geoPol,Collector_no,Wild_Garden_Collected,Original_Source_Information,Vouchers,MOR_Herbarium_Accession_Number,Notes,Voucher_Image,Photo_1,Photo_2,City,County,State_Province,Country,Lat,Long,Georeference_Source,Cronn_CP,AFLP,,tips.orig,spName
Quercus rugosa | OAK-UMN-276 | MEXICO : Oaxaca,OAK-UMN-276,,YES,1,1,H1,UMN,OAK-UMN-276,Quercus rugosa,Quercus rugosa,Quercus,MEXICO : Oaxaca,JCB-MX-OA-PA-25,Wild collected,"Oaxaca, Mexico; Papalo",MOR,175531,,,,,,,Oaxaca,Mexico,17.85043275,-96.81965187,GPS,NO,YES,,>OAK-UMN-276,rugosa
Quercus polymorpha | OAK-MOR-173 | MEXICO : Nuevo Leon,OAK-MOR-173,,YES,1,1,H8,MOR,OAK-MOR-173,Quercus polymorpha,Quercus polymorpha,Quercus,MEXICO : Nuevo Leon,IL-SH-084,Starhill Forest Arboretum,"Monterrey Area; N.L., Mex. Daniel Zambrans; 96 (97)",MOR-Oak street - photo voucher,,,http://quercus.lifedesks.org/node/924,,,,,Nuevo León,Mexico,25.677806,-100.808778,"Google earth to Nuevo Leon, Mx. Monterrey",NO,NO,,>OAK-MOR-173,polymorpha
Quercus polymorpha | OAK-MOR-174 | USA : Texas,OAK-MOR-174,,YES,1,1,A9,MOR,OAK-MOR-174,Quercus polymorpha,Quercus polymorpha,Quercus,USA : Texas,IL-SH-085,Starhill Forest Arboretum,Dolan Falls; Valverde Co.; TX,MOR-Oak street - photo voucher,,,http://quercus.lifedesks.org/node/917,,,,Valverde,Texas,USA,29.883333,-101,"Google search for Dolan Falls, Texas.",NO,YES,,>OAK-MOR-174,polymorpha
Quercus mohriana | OAK-MOR-125 | USA : Texas,OAK-MOR-125,,YES,2,2,F2,MOR,OAK-MOR-125,Quercus mohriana,Quercus mohriana,Quercus,USA : Texas,CA-DAV-MH051,UC Davis Arboretum,"1200 ft upstream from Rock House, McKittrick Canyon:Culberson County: Texas: 5250 ft. D. Cavagnaro 198. 11 Oct 1963.","MOR, UMN, DUKE, ND",174704,,,,,,Culberson,Texas,USA,31.979167,-104.754722,"Google earth of McKittrick Canyon, in Texas",YES,YES,,>OAK-MOR-125,mohriana
Quercus mohriana | OAK-MOR-222 | USA : Texas,OAK-MOR-222,,YES,1,1,D7,MOR,OAK-MOR-222,Quercus mohriana,Quercus mohriana,Quercus,USA : Texas,IL-SH-036,Starhill Forest Arboretum,"Turrell Co., TX, USA",MOR,175276,,http://quercus.lifedesks.org/node/974,http://quercus.lifedesks.org/node/632,http://quercus.lifedesks.org/node/633,,Turrell,Texas,USA,30.23361,-102.178456,"Google Earth to Terrell Co., Tx",NO,YES,,>OAK-MOR-222,mohriana
Quercus laceyi | OAK-MOR-438 | USA : Texas,OAK-MOR-438,,YES,1,1,B6,MOR,OAK-MOR-438,Quercus laceyi,Quercus laceyi,Quercus,USA : Texas,IL-SH-170,Starhill Forest Arboretum,Edwards Co.;  TX; Edwards Co.; USA,MOR,175253,,,,,,Edwards,Texas,USA,29.93806,-100.39145,"Google earth to Edwards Co., TX",NO,YES,,>OAK-MOR-438,laceyi
Quercus laceyi | OAK-MOR-189 | USA,OAK-MOR-189,,YES,1,1,C6,MOR,OAK-MOR-189,Quercus laceyi,Quercus laceyi,Quercus,USA,IL-SH-177,Starhill Forest Arboretum,David Richardson ; USA ,MOR,175332,,,http://quercus.lifedesks.org/node/535,,,,,USA,NA,NA,NA,NO,NO,,>OAK-MOR-189,laceyi
Quercus hinckleyi | OAKS-MOR-472 | USA : Texas,OAKS-MOR-472,,"Q. hinckleyi from batch 2, plate 2- replaced on plate instead of Quercus x schuettei (Oak_MOR-604)",5,6,H1,MOR,OAK-MOR-472,Quercus hinckleyi ,Quercus hinckleyi,Quercus,USA : Texas,QUH1006,Wild collected,silia-dried leaves received from Janet Backs;  QUH1006 pop1,n/a,photo voucher,,http://quercus.lifedesks.org/node/988,,,,,Texas,USA,29.8035,-104.341,GPS,NO,YES,,>OAKS-MOR-472.nameFixed,hinckleyi
Quercus vaseyana | OAK-MOR-528 | USA : Texas,OAK-MOR-528,,YES,1,1,F12,MOR,OAK-MOR-528,Quercus vaseyana,Quercus vaseyana,Quercus,USA : Texas,IL-SH-075,Starhill Forest Arboretum,"Real Cp., TX; D. Richardson; 99",MOR-Oak street - photo voucher,,,http://quercus.lifedesks.org/node/923,,,,Real,Texas,USA,29.842715,-99.818781,"Google earth to center of Real Co., TX",NO,NO,,>OAK-MOR-528,vaseyana
Quercus vaseyana | OAK-MOR-397 | USA : Texas,OAK-MOR-397,,YES,1,1,B10,MOR,OAK-MOR-397,Quercus vaseyana,Quercus vaseyana,Quercus,USA : Texas,CA-DAV-MH039,UC Davis Arboretum,12.3 Miles South of Juno: Val Verde County: Texas: 1500 ft. D. Cavagnaro 170. 7 Oct 1963.,"MOR, UMN, DUKE, ND",174580,,,,,,Val Verde,Texas,USA,29.970985,-101.109021,"Google earth; 12.3 miles S of Juno, Texas",YES,YES,,>OAK-MOR-397,vaseyana
