	reads	includedFinalTrees	
AGR11.fq.barcodeStripped.fq.gz	1047989	TRUE	
AGR17.fq.barcodeStripped.fq.gz	1422123	TRUE	
AGR18.fq.barcodeStripped.fq.gz	962326	FALSE	
AGR1.fq.barcodeStripped.fq.gz	1042008	TRUE	
AGR22.fq.barcodeStripped.fq.gz	1498892	TRUE	
AGR25.fq.barcodeStripped.fq.gz	1380630	TRUE	
AGR29.fq.barcodeStripped.fq.gz	1096656	TRUE	
AGR2.fq.barcodeStripped.fq.gz	1042912	TRUE	
AGR33.fq.barcodeStripped.fq.gz	2741063	FALSE	
AGR34.fq.barcodeStripped.fq.gz	1466193	TRUE	
AGR-3.fq.barcodeStripped.fq.gz	1248490	TRUE	
AGR-4.fq.barcodeStripped.fq.gz	1549679	TRUE	
AGR-5.fq.barcodeStripped.fq.gz	1566087	TRUE	
AGR6.fq.barcodeStripped.fq.gz	1408088	TRUE	
BJSL25.fq.gz	969575	TRUE	
BJVL19.fq.gz	817443	TRUE	
CR-JCB-1.fq.barcodeStripped.fq.gz	1423319	TRUE	
CR-JCB-2.fq.barcodeStripped.fq.gz	1942811	TRUE	
CR-JCB-3.fq.barcodeStripped.fq.gz	1853897	TRUE	
CRL0001.fq.gz	1012884	TRUE	
CRL0030.fq.gz	1204952	TRUE	
CUVN10.fq.gz	1130911	TRUE	
DM46.fq.gz	2263424	TRUE	
DM71.fq.gz	1312699	TRUE	
DM74.fq.gz	2883964	TRUE	
FLAB109.fq.gz	347949	TRUE	
FLBA140.fq.gz	975393	TRUE	
FLCK216.fq.gz	791393	TRUE	
FLSF54.fq.gz	1115926	TRUE	
JCB-MX-JA-MA-153.fq.barcodeStripped.fq.gz	1113560	TRUE	
JCB-MX-JA-TM-123.fq.barcodeStripped.fq.gz	1083704	TRUE	
JCB-MX-JA-TS-215.fq.barcodeStripped.fq.gz	823188	TRUE	
JCB-MX-OA-OA-34.fq.barcodeStripped.fq.gz	1454920	TRUE	
MXED8.fq.gz	1154841	TRUE	
OAK-MOR-123.fq.barcodeStripped.fq.gz	1239117	TRUE	
OAK-MOR-125.fq.gz	1661910	TRUE	
OAK-MOR-127.fq.gz	1291617	TRUE	
OAK-MOR-133.fq.barcodeStripped.fq.gz	1548152	TRUE	
OAK-MOR-135.fq.gz	2442493	TRUE	
OAK-MOR-143_R1.fq.gz	2180822	TRUE	
OAK-MOR-164_R1.fq.gz	1866644	TRUE	
OAK-MOR-167.fq.barcodeStripped.fq.gz	1682006	TRUE	
OAK-MOR-169.fq.barcodeStripped.fq.gz	1335229	TRUE	
OAK-MOR-173.fq.gz	2541753	TRUE	
OAK-MOR-174.fq.gz	2511830	TRUE	
OAK-MOR-189.fq.gz	1301034	TRUE	
OAK-MOR-191.fq.gz	2433737	TRUE	
OAK-MOR-199.fq.gz	2139123	TRUE	
OAK-MOR-204.fq.barcodeStripped.fq.gz	843842	TRUE	
OAK-MOR-221.fq.barcodeStripped.fq.gz	1564081	TRUE	
OAK-MOR-222.fq.gz	1896840	TRUE	
OAK-MOR-226.fq.gz	1147583	TRUE	
OAK-MOR-245.fq.barcodeStripped.fq.gz	1639893	TRUE	
OAK-MOR-249.fq.barcodeStripped.fq.gz	1653465	TRUE	
OAK-MOR-256.fq.barcodeStripped.fq.gz	1269094	TRUE	
OAK-MOR-260_R1.fq.gz	1713511	TRUE	
OAK-MOR-289.fq.barcodeStripped.fq.gz	1547705	TRUE	
OAK-MOR-305.fq.gz	2587934	TRUE	
OAK-MOR-336.fq.gz	1051361	TRUE	
OAK-MOR-340.fq.barcodeStripped.fq.gz	1488252	TRUE	
OAK-MOR-342.fq.gz	1062944	TRUE	
OAK-MOR-346.fq.gz	1629290	TRUE	
OAK-MOR-351.fq.gz	1900355	TRUE	
OAK-MOR-352.fq.gz	1936319	TRUE	
