INDEX	tip.label	collectionNumber	Alt_Coll_No	originalDet	cleanedSpecies	author	id_modifier	collectionDate	collectors	country	state_province	substate	substateRank	site	habitat	associates	Flower	Fruit	Veg	MatureBuds	dbh.cm	height.m	plantAttributesOther	elevation	elevationSource	determinationOriginal	subsequentDetermination	detBy	detDate	determinationNotes	sourceInstitution	livingCollectionsNumber	OrigSourceInfo	originalSource.cultivated	waypoint	latitude.orig	longitude.orig	datum	utm_zone	utm_northing	utm_easting	Altitude	coordinatesSource	photos	Collecting_Extracting notes	Expedition	Project	DNA_location	voucher1	voucher2	voucher3	otherVouchers	MOR_Acc_Num	Voucher_Notes	MOR_Barcode	MorphAcc_Num	Recollect_Date	Recollect_Num	Recollect_Collecters	radBatchNo	radSeqNotes	TEMP	Wild_Arb_GH_Collected	paperRefs	latitude_georef	longitude_georef	Georeference_source	country.georef	stat_province.georef	county.georef	city.georef	Tip_labels 	andrewPaperTips.v1	voucherImaged	spLinkToTaxonomy	cronnCpDNA	SRA_bioproject_accession	SRA_biosample_accession	SRA_library_ID	SRA_title_correct_LOCALITY_INFO	SRA_filename	SRA_Publication	sraSeqsUsedIn	SRA_NOTES	sequencedOn	seqSummary	fgxLibNo
948	DM71	DM71	MOR_DM71 (Extraction name)	Castanea dentata	Castanea dentata	(Marshall) Borkh.		5/28/2013	"Louise Sherman, Lee Bannon"	USA	IL	DUPAGE	County	"The Morton Arboretum; Appalachia, Grid #BB-72/12-90"			N	N	Y	N						Castanea dentata					The Morton Arboretum	565-78	"Seeds collected by Raymond F. Schulenberg in the southwest corner of Mississippi Palisades State Park, near site of and old abandoned homesite T25N, R3E, Sec. 34, Carroll County, Illinois, U.S.A. "	F		n/a	n/a										East Asian Oaks	MOR ?  (Some of Min's extra materials are in -70 freezer in big box)	MOR	n/a	n/a	n/a	178447	"Min and Andrew collected material for extraction, voucher was collected later for mature leaves."			n/a	n/a	n/a	Min Deng's RAD Plate		East Asian Oaks	The Morton Arboretum		42.13266	-90.157632	"google maps to southwest corner of Mississippi Palisades State Park, near site of and old abandoned homesite T25N, R3E, Sec. 34, Carroll County, Illinois, U.S.A. "	USA	Illinois	Carroll		Castanea densata_>DM71	Castanea densata | DM71 |  :		Castanea dentata		PRJNA376740	0	DM71	PstI RADseq of Castanea densata from USA : Illinois	DM71.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
927	DM46	DM46 (1840)	"MOR_DM46 (Extraction name), DM46, 1840"	Castanopsis fissa	Castanopsis fissa	(Champ. ex Benth.) Rehder & E.H.Wilson				China	Yunnan			"Ping-zai timber site, Xi-chou; Kunming Botanical Garden (living collection)"										1888m		Castanopsis fissa					Living Collection of Kunming Botanical Garden		"As it is living collection and it is small seedling, therefore, no voucher specimens:ﾠ(Ping-zai timber site, Xi-chou, Yunnan, China 1840 25ﾰ08'31.0""N 102ﾰ44'39.0""E, Living collection of Kunming Botanical Garden), alt. 1888m"	F		24.1419444	102.7441667										East Asian Oaks	MOR ?  (Some of Min's extra materials are in -70 freezer in big box)	seedling	n/a	n/a	n/a	n/a		n/a	n/a	n/a	n/a	n/a	Min Deng's RAD Plate		East Asian Oaks	Kunming Botanical Garden (living collection)		24.1419444	102.7441667	"I think this might be the botanic garden lat and long? Xi-chou county is further southeast in Yunnan Xi-chou- would be ~(23.367488, 104.694185)"	China	Yunnan	Xi-chou		Castanopsis fissa_>DM46	Castanopsis fissa | DM46 |  :	na	Castanopsis fissa		PRJNA376740	0	DM46	PstI RADseq of Castanopsis fissa from China : Yunnan	DM46.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
951	DM74	DM74 (5940)	"MOR_DM74 (Extraction name), DM74, 5940 (collection number)"	Lithocarpus hancei	Lithocarpus hancei	(Benth.) Rehder			"Deng, M., Song, Y.G. & Zou, Y.J"	China	Yunnan			Kunming Botanical Garden (living collection)										1888m		Lithocarpus hancei					Kunming Botanical Garden (living Collection)		"Deng, M., Song, Y.G. & Zou, Y.J. 5940, China, Yunnan, Kunming Botanical Garden (living collection), alt. 1888m. "	T													East Asian Oaks	MOR ?  (Some of Min's extra materials are in -70 freezer in big box)	seedling	n/a	n/a	n/a	n/a		n/a	n/a	n/a	n/a	n/a	Min Deng's RAD Plate		East Asian Oaks	Kunming Botanical Garden (living collection)					China	Yunnan				Lithocarpus hancei | DM74 | 	na	Lithocarpus hancei		PRJNA376740	0	DM74	PstI RADseq of Lithocarpus hancei from China	DM74.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
635	OAK-MOR-435	IL-SH-22	IL-SH-022	Quercus acerifolia (E.J.Palmer) Stoynoff & Hess	Quercus acerifolia	(E.J.Palmer) Stoynoff & Hess		6/11/2012	"Marlene Hahn, Bethany Hayward Brown, Marcial Escudero, Breane Budaitis"	USA	Illinois	Menard	County	"Starhill Forest Arboretum, Petersburg, IL, USA; North 39ﾰ56.1' / West 89ﾰ48.1' (website); Compartment #: CCC; Lot#: 1"	Arboretum				Y		10	7				Quercus acerifolia					Starhill Forest Arboretum	2001-026	"Sebastian Co., AR, USA"	F	n/a	39.93604177	-89.80032647		n/a	n/a	n/a	n/a	gps (of plant on Arboretum grounds)				"Phylogeny of the oaks of the Americas: Diversification of an ecologically important clade across the tropical-temperate divide. (2012-2015 NSF Grant, DEB 114648)"	MOR	MOR	x	x	x	175315							Batch 1		Starhill Forest Arboretum	Arboretum		35.594167	-94.258056	website /geoHack for Sebastian Co	USA	AR	Sebastian		Quercus acerifolia_>OAK-MOR-435	Quercus acerifolia | OAK-MOR-435 | USA : Arkansas	http://quercus.lifedesks.org/node/946	Quercus acerifolia (E.J.Palmer) Stoynoff & Hess		PRJNA376740	0	OAK-MOR-435	PstI RADseq of Quercus acerifolia from USA : Arkansas	OAK-MOR-435.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
1070	OAK-MOR-689	IL-MOR-MH235	same as IL-MOR-Y46	Quercus acerifolia (E.J.Palmer) Stoynoff & Hess	Quercus acerifolia	(E.J.Palmer) Stoynoff & Hess		9/12/2013	"Evelyn Means, Laurie Glaysher, Joyce Beck"	U.S.A.	IL	DUPAGE	County	"The Morton Arboretum, Forest Road: C-80/92-65"	na	na	N		Y	N			Rounded tree 18' tall and 40' wide in good condition. Trunk bark  rough and gray. Twigs brownish gray and rough; previous year gray and  rough. 			Quercus acerifolia (E.J.Palmer) Stoynoff & Hess					The Morton Arboretum	702-50*1 	"Plant received in 1950 from Dr. Everett C. Logue; original source was Arnold Arboretum, Peters Hill plant. (received as Quercus shumardii var. acerifolia)"	T	na	na	na	na	na	na	na	na					MOR RAD sequencing of LC Quercus collection.  	MOR	MOR				177616							Batch 3		The Morton Arboretum	The Morton Arboretum		NA	NA	NA-CULTIVATED					Quercus acerifolia _>OAK-MOR-689	Quercus acerifolia | OAK-MOR-689 | USA : Arkansas		Quercus acerifolia (E.J.Palmer) Stoynoff & Hess		PRJNA376740	0	OAK-MOR-689	"PstI RADseq of Quercus acerifolia ,  CULTIVATED : The Morton Arboretum : USA"	OAK-MOR-689.fq.barcodeStripped.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
239	OAK-UMN-297	JCB-MX-OA-SV-46		Quercus conspersa Benth.	Quercus acutifolia	Benth.		5/14/2012	"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez"	Mexico	Oaxaca			Sola de Vega							22	9		1662	estimate	Q. sapotifolia	Quercus conspersa	Susana Valencia			n/a	n/a	n/a	F	68	16.48842378	-96.98358413			1827165.93	74551.30674	5454		430431432				UMN	UMN	MOR	DUKE		175708							Batch 2		"Oaxaca, MX"	Wild		16.48842378	-96.98358413		Mexico	Oaxaca			Quercus conspersa_>OAK-UMN-297	Quercus conspersa | OAK-UMN-297 | MEXICO : Oaxaca		Quercus conspersa Benth.		PRJNA376740	0	OAK-UMN-297	PstI RADseq of Quercus acutifolia from MEXICO : Oaxaca	OAK-UMN-297.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
276	OAK-UMN-334	JCB-MX-OA-MI-83		Quercus conspersa Benth.	Quercus acutifolia	Benth.		5/16/2012	"Jeannine Cavender-Bares, Antonio Gonzalez-Rodriguez"	Mexico	Oaxaca			Mitla							18	10			estimate		Quercus conspersa	Susana Valencia			n/a	n/a	n/a	F	92	16.98307551	-96.15391921			1880384.975	164114.8614	5703		230231	5 stems together			UMN	UMN	MOR	DUKE		175513							Batch 2		"Oaxaca, MX"	Wild		16.98307551	-96.15391921		Mexico	Oaxaca			Quercus conspersa_>OAK-UMN-334	Quercus conspersa | OAK-UMN-334 | MEXICO : Oaxaca		Quercus conspersa Benth.		PRJNA376740	0	OAK-UMN-334	PstI RADseq of Quercus acutifolia from MEXICO : Oaxaca	OAK-UMN-334.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
1003	OAK-MOR-578	IL-MOR-MH209		Quercus  acutissima Carruth.	Quercus acutissima	Carruth.		8/21/2013	"Marlene Hahn, Marilyn Carle Satish Sachdev"	U.S.A.	IL	DUPAGE	county	The Morton Arboretum: Quercus: K-99/20-05 			N		Y				"Ascending tree 55' tall and 35' wide in good condition. Trunk bark  blocky, furrowed and gray. Twigs yellowish gray; previous year gray.  Fruit green, RHS #130-B. "			Quercus  acutissima Carruth.					The Morton Arboretum	644-33*1	Arnold Arboretum of Harvard University (received as seed)	T													MOR RAD sequencing of LC Quercus collection.  	MOR	MOR				176746	Note! not necessarily wild provenance						Batch 4		The Morton Arboretum	The Morton Arboretum		NA	NA	NA-CULTIVATED	NA	NA	NA	na		Quercus acutissima | OAK-MOR-578 | 		Quercus  acutissima Carruth.		PRJNA376740	0	OAK-MOR-578	"PstI RADseq of Quercus acutissima, CULTIVATED : The Morton Arboretum : USA"	OAK-MOR-578.fq.barcodeStripped.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
1595	AGR34	AGR34	AGR34 (extraction #'s)	Quercus affinis	Quercus affinis	Scheidw.				Mexico	Queretaro															Quercus affinis						na	n/a	F		"20ﾰ18ﾴ9.4""ﾠﾠ "	"100ﾰ11ﾴ16.8"""										Oaks of the Americas		?											"Batch 4, plate 5"					20.3026	-100.188		Mexico					Quercus affinis | AGR34 | 				PRJNA376740	0	AGR34	PstI RADseq of Quercus affinis from MEXICO :	AGR34.fq.barcodeStripped.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
1597	OAK-UMN-399	JCB-MX-??-ZA-519	OAK-UMN-399	Quercus affinis	Quercus affinis	Scheidw.				Mexico																						na	n/a	F													OAKS of the Americas													Batch 2								Mexico					Quercus affinis | OAK-UMN-399 | MEXICO				PRJNA376740	0	OAK-UMN-399	PstI RADseq of Quercus affinis from MEXICO	OAK-UMN-399.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)				
